id,simplified,traditional,pinyin,jyutping,english,mandarin_rank,cantonese_rank,examples,hsk_level
633407859502054425,男孩儿,男孩兒,nán hái r,naam4 haai4 jan4,erhua variant of 男孩; boy,,,[],1
168965488959151877,男朋友,男朋友,nán péng you,naam4 pang4 jau5,boyfriend,3176,,[],1
383174229654841983,男人,男人,nán rén,naam4 jan2,a man; a male,415,,[],1
357573729942896649,男生,男生,nán shēng,naam4 sang1,schoolboy; male student,2784,,[],1
1038860915900328939,南,南,Nán,naam4,surname Nan,1709,,[],1
432514910996424944,南边,南邊,nán bian,naam4 bin1,south; south side,17587,,[],1
1068156187206967945,难,難,nán,naan4,difficult (to...); problem,544,,[],1
995127141341888470,呢,呢,ne,ne1,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...",96,,[],1
518498351130862516,能,能,Néng,nang4,surname Neng,46,,[],1
388166673500001047,你,你,nǐ,nei5,"you (informal, as opposed to courteous 您)",5,,[],1
215508500668119672,你们,你們,nǐ men,nei5 mun4,you (plural),127,,[],1
500264760810559949,年,年,Nián,nin4,surname Nian,79,,[],1
550604931509391275,您,您,nín,nei5,"you (courteous, as opposed to informal 你)",357,,[],1
338878081515196456,牛奶,牛奶,niú nǎi,ngau4 naai5,cow's milk,2986,,[],1
174453228082746295,女,女,nǚ,neoi5,female; woman,368,,[],1
220890293418055611,女儿,女兒,nǚ ér,neoi5 jan4,daughter,879,,[],1
34468014893156301,女孩儿,女孩兒,nǚ hái r,neoi5 haai4 jan4,erhua variant of 女孩; girl,18271,,[],1
875038372385297649,女朋友,女朋友,nǚ péng you,neoi5 pang4 jau5,girlfriend,3004,,[],1
1090154810432629524,女人,女人,nǚ rén,neoi5 jan2,woman,383,,[],1
365781755763806565,女生,女生,nǚ shēng,neoi5 sang1,schoolgirl; female student,1894,,[],1
48778706528394947,旁边,旁邊,páng biān,pong4 bin1,side; adjacent place,1815,,[],1
94963413420054114,跑,跑,páo,paau2,(of an animal) to paw (the ground),553,,[],1
957308902033648831,朋友,朋友,péng you,pang4 jau5,friend,280,,[],1
1042976926699942676,票,票,piào,piu3,ticket; ballot,956,,[],1
566080174378403510,七,七,qī,cat1,seven; 7,1419,,[],1
185093103555785274,起,起,qǐ,hei2,to rise; to raise,174,,[],1
498097248417509174,起床,起床,qǐ chuáng,hei2 cong4,to get out of bed; to get up,2645,,[],1
366150524475579395,起来,起來,qǐ lai,hei2 loi4,to stand up; to get up,172,,[],1
504444713159143995,汽车,汽車,qì chē,hei3 ce1,car; automobile,898,,[],1
32607471235624803,前,前,qián,cin4,front; forward,127,,[],1
746267655686748217,前边,前邊,qián bian,cin4,front; the front side,25408,,[],1
1091316077987695117,前天,前天,qián tiān,cin4 tin1,the day before yesterday,8117,,[],1
987623544392331782,钱,錢,Qián,cin4,surname Qian,218,,[],1
865490024066917934,钱包,錢包,qián bāo,cin4 baau1,purse; wallet,4411,,[],1
112411243033818768,请,請,qǐng,cing2,to ask; to invite,216,,[],1
829922489395981205,请假,請假,qǐng jià,gaa2,to request leave of absence,10134,,[],1
490745900097705338,请进,請進,qǐng jìn,cing2 zeon3,"""please come in""",21213,,[],1
867698783287677931,请问,請問,qǐng wèn,cing2 man6,"Excuse me, may I ask...?",3689,,[],1
631209816679792133,请坐,請坐,qǐng zuò,co5,"please, have a seat",37277,,[],1
1092960099803643413,球,球,qiú,kau4,ball; sphere,518,,[],1
14633569083280108,去,去,qù,heoi3,to go; to go to (a place),38,,[],1
143367980983166438,去年,去年,qù nián,heoi3 nin4,last year,933,,[],1
